method,sample_id,pred_idx,label_idx,correct_pred,morf_auc,lerf_auc
DynamicLRP,0,"tensor(1, device='cuda:0')",1,1,0.8649250030517579,0.37188301086425785
DynamicLRP,1,"tensor(1, device='cuda:0')",1,1,0.6562335968017579,0.7293781280517578
DynamicLRP,2,"tensor(0, device='cuda:0')",0,1,0.9390625,0.34179687499999994
DynamicLRP,3,"tensor(1, device='cuda:0')",1,1,0.8024494171142579,0.6512531280517578
DynamicLRP,4,"tensor(0, device='cuda:0')",0,1,0.13763427734375,0.7195312500000001
DynamicLRP,5,"tensor(1, device='cuda:0')",1,1,0.9250812530517578,0.26770820617675783
DynamicLRP,6,"tensor(1, device='cuda:0')",1,1,0.8067218780517578,0.6160968780517578
DynamicLRP,7,"tensor(0, device='cuda:0')",0,1,0.261572265625,0.701171875
DynamicLRP,8,"tensor(0, device='cuda:0')",0,1,0.30192871093749996,0.404296875
DynamicLRP,9,"tensor(1, device='cuda:0')",1,1,0.7993000030517579,0.4948078155517578
DynamicLRP,10,"tensor(1, device='cuda:0')",1,1,0.9121906280517579,0.812190628051758
DynamicLRP,11,"tensor(0, device='cuda:0')",0,1,0.3294921875,0.6316406250000001
DynamicLRP,12,"tensor(0, device='cuda:0')",0,1,0.5482421875000001,0.21191406249999997
DynamicLRP,13,"tensor(0, device='cuda:0')",0,1,0.8615234375,0.47363281250000006
DynamicLRP,14,"tensor(1, device='cuda:0')",1,1,0.26116523742675785,0.8690265655517577
DynamicLRP,15,"tensor(1, device='cuda:0')",1,1,0.27154121398925785,0.8772296905517578
DynamicLRP,16,"tensor(0, device='cuda:0')",0,1,0.25346679687499996,0.83740234375
DynamicLRP,17,"tensor(0, device='cuda:0')",0,1,0.6705078124999999,0.1496826171875
DynamicLRP,18,"tensor(1, device='cuda:0')",1,1,0.7489093780517578,0.3326984405517578
DynamicLRP,19,"tensor(1, device='cuda:0')",1,1,0.38806953430175783,0.8705890655517579
DynamicLRP,20,"tensor(0, device='cuda:0')",0,1,0.6273437500000001,0.83046875
DynamicLRP,21,"tensor(1, device='cuda:0')",0,0,0.7274219512939453,0.19690437316894532
DynamicLRP,22,"tensor(0, device='cuda:0')",0,1,0.7427734374999999,0.31645507812499996
DynamicLRP,23,"tensor(1, device='cuda:0')",1,1,0.9426593780517578,0.3555500030517578
DynamicLRP,24,"tensor(0, device='cuda:0')",0,1,0.278515625,0.32841796875
DynamicLRP,25,"tensor(1, device='cuda:0')",1,1,0.8375812530517578,0.23655586242675783
DynamicLRP,26,"tensor(0, device='cuda:0')",0,1,0.5732421875,0.47011718750000003
DynamicLRP,27,"tensor(1, device='cuda:0')",1,1,0.2488117218017578,0.8030109405517578
DynamicLRP,28,"tensor(1, device='cuda:0')",1,1,0.5920734405517578,0.8727375030517579
DynamicLRP,29,"tensor(1, device='cuda:0')",1,1,0.9438312530517579,0.15979804992675783
DynamicLRP,30,"tensor(0, device='cuda:0')",0,1,0.775,0.38073730468750006
DynamicLRP,31,"tensor(0, device='cuda:0')",0,1,0.17343749999999997,0.7332031250000001
DynamicLRP,32,"tensor(1, device='cuda:0')",1,1,0.9231281280517578,0.3951984405517578
DynamicLRP,33,"tensor(0, device='cuda:0')",0,1,0.1555908203125,0.6589843750000001
DynamicLRP,34,"tensor(0, device='cuda:0')",0,1,0.2517578125,0.29931640625
DynamicLRP,35,"tensor(1, device='cuda:0')",1,1,0.7602375030517579,0.6407062530517579
DynamicLRP,36,"tensor(0, device='cuda:0')",0,1,0.780859375,0.14249267578124997
DynamicLRP,37,"tensor(0, device='cuda:0')",0,1,0.6017578125,0.11113891601562499
DynamicLRP,38,"tensor(0, device='cuda:0')",0,1,0.4755859375,0.4400390625
DynamicLRP,39,"tensor(0, device='cuda:0')",0,1,0.461328125,0.64453125
DynamicLRP,40,"tensor(0, device='cuda:0')",0,1,0.23710937499999996,0.634375
DynamicLRP,41,"tensor(0, device='cuda:0')",0,1,0.33730468750000003,0.6769531249999999
DynamicLRP,42,"tensor(0, device='cuda:0')",0,1,0.44628906250000006,0.6574218749999999
DynamicLRP,43,"tensor(0, device='cuda:0')",0,1,0.22832031249999998,0.6214843750000001
DynamicLRP,44,"tensor(0, device='cuda:0')",0,1,0.47285156250000004,0.9369140625
DynamicLRP,45,"tensor(1, device='cuda:0')",1,1,0.3259723663330078,0.8506671905517578
DynamicLRP,46,"tensor(1, device='cuda:0')",1,1,0.2944232940673828,0.9123859405517578
DynamicLRP,47,"tensor(1, device='cuda:0')",1,1,0.8258625030517579,0.3037677764892578
DynamicLRP,48,"tensor(1, device='cuda:0')",1,1,0.8524250030517578,0.18889961242675782
DynamicLRP,49,"tensor(0, device='cuda:0')",0,1,0.7701171875,0.1677978515625
DynamicLRP,50,"tensor(1, device='cuda:0')",1,1,0.5306720733642578,0.7246906280517578
DynamicLRP,51,"tensor(1, device='cuda:0')",1,1,0.8432453155517577,0.3100177764892578
DynamicLRP,52,"tensor(0, device='cuda:0')",0,1,0.787109375,0.18677978515625
DynamicLRP,53,"tensor(1, device='cuda:0')",1,1,0.8601398468017578,0.7840656280517577
DynamicLRP,54,"tensor(1, device='cuda:0')",1,1,0.9243000030517577,0.6450031280517579
DynamicLRP,55,"tensor(1, device='cuda:0')",1,1,0.4351398468017579,0.8336750030517578
DynamicLRP,56,"tensor(0, device='cuda:0')",0,1,0.40234375,0.808203125
DynamicLRP,57,"tensor(1, device='cuda:0')",1,1,0.5403156280517578,0.9135578155517579
DynamicLRP,58,"tensor(1, device='cuda:0')",1,1,0.8547687530517578,0.6348468780517578
DynamicLRP,59,"tensor(1, device='cuda:0')",1,1,0.7772296905517577,0.8360187530517579
DynamicLRP,60,"tensor(0, device='cuda:0')",0,1,0.598876953125,0.83515625
DynamicLRP,61,"tensor(0, device='cuda:0')",0,1,0.5048828125000001,0.89609375
